,Business ID,Review,Compound,Business Name,Business Alias,Category,City,State,ZipCode,Lat,Long,Review Count,Rating
0,f3rkiilfzZVJlK0oxsmjqQ,My case was finally put to rest this morning with the best possible outcome I could have imagined. I hired Mr. Langston and was continuously treated with...,0.6369,"Langston Law, Chartered",langston-law-chartered-olathe,lawyers,Olathe,KS,66061,38.88175583,-94.81898499,3,5
1,f3rkiilfzZVJlK0oxsmjqQ,"my work has volunteer program, that u can sign up and its with legal, Mr Langston was on that and with luck I didn't have to pay anything, For some reason I...",0.5853,"Langston Law, Chartered",langston-law-chartered-olathe,lawyers,Olathe,KS,66061,38.88175583,-94.81898499,3,5
2,f3rkiilfzZVJlK0oxsmjqQ,Mr. Langston has helped me through a couple of DUI issues and you have to respect his professionalism. When choosing a lawyer you need to find someone just...,0.4767,"Langston Law, Chartered",langston-law-chartered-olathe,lawyers,Olathe,KS,66061,38.88175583,-94.81898499,3,5
3,t7LBdL4HifGJlMbn92WX7g,"If you are looking for a reliable, TRUSTWORTHY and discreet attorney then Tyler is your man. He was able to contact me immediately about my concerns and...",0.6523,Garretson & Toth,garretson-and-toth-olathe,criminaldefense,Olathe,KS,66061,38.8817494,-94.8191283,3,5
4,t7LBdL4HifGJlMbn92WX7g,"Tyler is an excellent, knowledgeable, considerate attorney.  He was easy to talk to, took time to answer all my questions, and handled everything quickly...",0.8591,Garretson & Toth,garretson-and-toth-olathe,criminaldefense,Olathe,KS,66061,38.8817494,-94.8191283,3,5
5,t7LBdL4HifGJlMbn92WX7g,My teenage son has made some pretty typical 'stupid teenager' decisions that could have had a negative impact on his future if not handled appropriately....,-0.5994,Garretson & Toth,garretson-and-toth-olathe,criminaldefense,Olathe,KS,66061,38.8817494,-94.8191283,3,5
6,XCuOMk5_1L2g8MWA89AnWw,Dustin Crook truly cares about his clients and does whatever it takes to help them. I go to Dustin Crook for any legal advice and help and he always goes...,0.8957,Biesterveld & Crook,biesterveld-and-crook-olathe-2,personal_injury,Olathe,KS,66061,38.8817767,-94.8189425,2,5
7,XCuOMk5_1L2g8MWA89AnWw,"No matter the obstacles, no matter the time that must be invested, Dustin Crook is by far one of the bravest and most dedicated attorneys I have ever come...",0.2006,Biesterveld & Crook,biesterveld-and-crook-olathe-2,personal_injury,Olathe,KS,66061,38.8817767,-94.8189425,2,5
8,jAARAXFeF7i1Qfj8LuQIbw,Trey is awesome!!! Only attorney to hire ever!! He helped several of my friends out of a hopeless situations. He is well worth the expense.  I mean sure u...,0.8926,Law Office of Pettlon & Ginie,law-office-of-pettlon-and-ginie-olathe,lawyers,Olathe,KS,66061,38.881499,-94.8210698,2,5
9,jAARAXFeF7i1Qfj8LuQIbw,"Trey is smart, savvy, and thorough, all the qualities you need in a lawyer.  He came highly recommended and did not disappoint.  He is definitely the one...",0.8294,Law Office of Pettlon & Ginie,law-office-of-pettlon-and-ginie-olathe,lawyers,Olathe,KS,66061,38.881499,-94.8210698,2,5
10,hqMntgqe6TRRsU80AuboSw,I received severe and permanent injuries to multiple systems of my body as the direct result of a vaccine that was mandated by my work in healthcare....,-0.3818,Martin & Wallentine,martin-and-wallentine-olathe,divorce,Olathe,KS,66061,38.88295,-94.8190709,1,5
11,AYUtnxd7u2ySlKEYEYFm8w,"Child custody to Insurance claim for house fire

Back in 2004 my step son's mom decided she was moving out of state and taking our son with her. She was in...",-0.34,Moore Law Center,moore-law-center-mission-2,bankruptcy,Mission,KS,66205,38.88538,-94.77914,3,3.5
12,AYUtnxd7u2ySlKEYEYFm8w,"Three years ago when I lived in Olathe, I had gone into debt trying to help my family.  I didn't know what to do and was very Intimidated with the whole...",-0.4576,Moore Law Center,moore-law-center-mission-2,bankruptcy,Mission,KS,66205,38.88538,-94.77914,3,3.5
13,AYUtnxd7u2ySlKEYEYFm8w,"My dealings with lawyers are few and far between. And after working with Weston Moore, I hope it stays that way. I found Mr. Moore on a legal web site, and...",0.5267,Moore Law Center,moore-law-center-mission-2,bankruptcy,Mission,KS,66205,38.88538,-94.77914,3,3.5
